Iteratie: 1
Epoca 6: tensor(1.6149, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6009, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5910, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.7351, grad_fn=<DivBackward0>)
Iteratie: 36
Epoca 0: tensor(2.1536, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8922, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7708, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6988, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6525, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6219, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6021, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5852, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5780, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5697, grad_fn=<DivBackward0>)
Iteratie: 37
Epoca 0: tensor(1.9803, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8023, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7086, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6540, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6326, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6213, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6139, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6231, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.6136, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6132, grad_fn=<DivBackward0>)
Iteratie: 38
Epoca 0: tensor(1.9993, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8041, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7145, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6623, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6329, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6132, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6072, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5980, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5917, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5850, grad_fn=<DivBackward0>)
Iteratie: 39
Epoca 0: tensor(2.0172, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.8066, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.7178, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6679, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6344, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6163, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.6062, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5984, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5961, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5997, grad_fn=<DivBackward0>)
Iteratie: 40
Epoca 0: tensor(1.9697, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7749, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.6934, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.7429, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6731, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6460, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5986, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.6171, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5897, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.6675, grad_fn=<DivBackward0>)
Iteratie: 41
Epoca 0: tensor(1.9691, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7557, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.6628, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6150, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.5895, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.5741, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5649, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5576, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5558, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5553, grad_fn=<DivBackward0>)
Iteratie: 42
